 rho 140 T 70 
1.2589254117941662e-14 79.43282347242838 1.8831696496099535 3.9815695759376957
1.2589254117941662e-14 100.00000000000031 3.0042422830430366 5.3995765181724735
1.2589254117941662e-14 125.89254117941714 4.549558097989995 7.7433055909824535
1.2589254117941662e-14 158.4893192461119 4.755227254002868 10.959069816862634
1.2589254117941662e-14 199.5262314968887 6.431003210084558 10.297614877111807
1.2589254117941662e-14 251.18864315095874 7.980121196672552 10.312970141911915
1.2589254117941662e-14 316.2277660168389 9.187736544458565 9.030945178574047
1.2589254117941662e-14 398.1071705534986 10.118754030848528 9.203714067843292
1.2589254117941662e-14 501.18723362727405 4.237678226446402 6.037356113721556
1.2589254117941662e-14 630.9573444801956 4.6262469598929155 3.76979408088052
1.2589254117941662e-14 794.3282347242846 3.1119545769954584 2.9607029031832988
1.2589254117941662e-14 1000.0000000000041 3.4850464387066373 2.8419912598785357
1.2589254117941662e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1.2589254117941662e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1.2589254117941662e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1.2589254117941662e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1.2589254117941662e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1.2589254117941662e-14 3981.0717055349937 0.00011061711117195699 0.0003490011976733477
1.2589254117941662e-14 5011.8723362727505 0.00510054361491651 0.23272712682590732
1.2589254117941662e-14 6309.573444801968 0.2351855433317009 155.19120299999088
1.2589254117941662e-14 7943.282347242862 0.32397926832320406 61.0787880552002
1.2589254117941662e-14 10000.000000000062 0.32744067392484183 29.860489157703018
1.2589254117941662e-14 12589.254117941739 0.3504390999488321 119.85912812170065
1.2589254117941662e-14 15848.931924611239 0.349288875361673 450.64230407203956
1.2589254117941662e-14 19952.62314968891 0.35271277301826187 1463.5173375191648
1.2589254117941662e-14 25118.864315095976 0.36540563048269903 1504.4119678044278
1.2589254117941662e-14 31622.77660168399 0.3711204030341416 200.40614580050178
1.2589254117941662e-14 39810.71705535002 0.3714173577813846 230.26427158474036
1.2589254117941662e-14 50118.72336272756 0.3698423776492438 60.92204846862073
1.2589254117941662e-14 63095.734448019684 0.37103989572479645 56.65098344164871
1.2589254117941662e-14 79432.8234724287 0.38923723483876 25.754537688105792
1.2589254117941662e-14 100000.00000000061 0.4465762638742732 28.65623803191987
1.2589254117941662e-14 125892.54117941765 0.4731055999386231 33.89426140340129
1.2589254117941662e-14 158489.3192461124 0.42674957431564403 15.357121702115858
1.2589254117941662e-14 199526.23149688952 0.37572205241060863 5.064438325632851
1.2589254117941662e-14 251188.64315095975 0.35314431548060415 0.7137393031014181
1.2589254117941662e-14 316227.7660168405 0.3488686837262927 0.2673972333105321
1.2589254117941662e-14 398107.1705535002 0.34773675167729523 0.2041969755050358
1.2589254117941662e-14 501187.2336272766 0.348094063687773 0.3301071380426468
1.2589254117941662e-14 630957.3444801981 0.3484467000906173 0.44796917267527375
1.2589254117941662e-14 794328.2347242887 0.346016512968608 0.061446473972022714
1.2589254117941662e-14 1000000.0000000081 0.3450105778191578 0.00046193263399854796
1.2589254117941662e-14 1258925.4117941791 0.34475684763787234 2.4654240661303096e-05
1.2589254117941662e-14 1584893.1924611272 0.3444482757865813 4.2026650751266566e-07
1.2589254117941662e-14 1995262.3149688991 0.34414404420983563 1.0016177731897292e-07
1.2589254117941662e-14 2511886.431509603 0.3437150161983488 1.7005684874108202e-08
1.2589254117941662e-14 3162277.660168405 0.3430367859920612 2.525662281782844e-07
1.2589254117941662e-14 3981071.70553501 0.3423684466854148 1.5325812462861775e-07
1.2589254117941662e-14 5011872.336272766 0.34169206371947086 2.157413239372804e-08
1.2589254117941662e-14 6309573.444801995 0.3407235341423489 2.2676201133256932e-09
1.2589254117941662e-14 7943282.347242886 0.33925201845159697 2.098984117307624e-10
1.584893192461111e-14 1.0 0.00037391603262455905 0.0006754946437352812
1.584893192461111e-14 1.2589254117941673 0.0005603800610453256 0.0010326397774805668
1.584893192461111e-14 1.5848931924611138 0.0008438839862675479 0.0015684826095656043
1.584893192461111e-14 1.9952623149688804 0.001274164605026326 0.002367397491936507
1.584893192461111e-14 2.5118864315095815 0.0019252276342702909 0.003572486710697094
1.584893192461111e-14 3.1622776601683817 0.002909405316384349 0.00544409760937747
1.584893192461111e-14 3.9810717055349754 0.004403158956935619 0.00844179408793185
1.584893192461111e-14 5.011872336272727 0.0066909553700065846 0.013301239245818218
1.584893192461111e-14 6.30957344480194 0.01023370851986319 0.02112739435882825
1.584893192461111e-14 7.943282347242826 0.015771491931278428 0.033618387901325535
1.584893192461111e-14 10.000000000000016 0.024486014694597102 0.05363033291772415
1.584893192461111e-14 12.589254117941694 0.03828086296784681 0.08646162114958536
1.584893192461111e-14 15.848931924611158 0.060280232968804366 0.14261533582250047
1.584893192461111e-14 19.95262314968883 0.09575580472522859 0.24279346809639
1.584893192461111e-14 25.11886431509585 0.15380959104297062 0.4238693760834552
1.584893192461111e-14 31.622776601683857 0.2503276105441447 0.7402623084924984
1.584893192461111e-14 39.81071705534981 0.4128599977096591 1.248128606016813
1.584893192461111e-14 50.11872336272735 0.6874461568572886 1.971512076862459
1.584893192461111e-14 63.09573444801949 1.1454546222915947 2.881365615409044
1.584893192461111e-14 79.43282347242838 1.8831696496099535 3.9815695759376957
1.584893192461111e-14 100.00000000000031 3.0042422830430366 5.399576518172468
1.584893192461111e-14 125.89254117941714 4.551140625827489 7.745366309483591
1.584893192461111e-14 158.4893192461119 4.7552272540028735 10.959069816862634
1.584893192461111e-14 199.5262314968887 6.4310032100845635 10.2976148771118
1.584893192461111e-14 251.18864315095874 7.98012119667256 10.312970141911915
1.584893192461111e-14 316.2277660168389 9.187736544458582 9.030945178574047
1.584893192461111e-14 398.1071705534986 10.118754030848528 9.203714067843284
1.584893192461111e-14 501.18723362727405 4.237678226446402 6.0373561137215574
1.584893192461111e-14 630.9573444801956 4.626246959892911 3.769794080880523
1.584893192461111e-14 794.3282347242846 3.1119545769954584 2.9607029031833014
1.584893192461111e-14 1000.0000000000041 3.4850464387066413 2.841991259878534
1.584893192461111e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1.584893192461111e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1.584893192461111e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1.584893192461111e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1.584893192461111e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1.584893192461111e-14 3981.0717055349937 0.00011061711117195699 0.0003490011976733477
1.584893192461111e-14 5011.8723362727505 0.005051953298108036 0.23553814845683518
1.584893192461111e-14 6309.573444801968 0.23072589834064253 158.9628342447357
1.584893192461111e-14 7943.282347242862 0.32476125525914173 68.73567440728283
1.584893192461111e-14 10000.000000000062 0.3282308729190415 31.41918866552717
1.584893192461111e-14 12589.254117941739 0.35149115612148757 124.12427828217298
1.584893192461111e-14 15848.931924611239 0.35088938664893427 455.9587974124395
1.584893192461111e-14 19952.62314968891 0.35336088512316 1466.93157013952
1.584893192461111e-14 25118.864315095976 0.3657356432627286 1505.6757962778195
1.584893192461111e-14 31622.77660168399 0.37187919724763907 202.0541906387453
1.584893192461111e-14 39810.71705535002 0.3721191677588917 219.82572617828671
1.584893192461111e-14 50118.72336272756 0.37054269185865996 62.20226850999957
1.584893192461111e-14 63095.734448019684 0.3714936240725131 56.43371440992793
1.584893192461111e-14 79432.8234724287 0.3893817277409469 25.216652023351642
1.584893192461111e-14 100000.00000000061 0.44768561065344903 28.78708758071536
1.584893192461111e-14 125892.54117941765 0.47424830715849015 34.02369426002053
1.584893192461111e-14 158489.3192461124 0.426749574315644 15.357121702115858
1.584893192461111e-14 199526.23149688952 0.3757220524106086 5.064438325632851
1.584893192461111e-14 251188.64315095975 0.35314431548060415 0.7137393031014182
1.584893192461111e-14 316227.7660168405 0.34886868372629276 0.2673972333105321
1.584893192461111e-14 398107.1705535002 0.34773675167729523 0.2041969755050358
1.584893192461111e-14 501187.2336272766 0.348094063687773 0.33010713804264685
1.584893192461111e-14 630957.3444801981 0.3484467000906173 0.4479691726752738
1.584893192461111e-14 794328.2347242887 0.346016512968608 0.061446473972022714
1.584893192461111e-14 1000000.0000000081 0.3450105778191578 0.00046193263399854796
1.584893192461111e-14 1258925.4117941791 0.34475684763787234 2.4654240661303096e-05
1.584893192461111e-14 1584893.1924611272 0.3444482757865814 4.2026650751266566e-07
1.584893192461111e-14 1995262.3149688991 0.34414404420983563 1.0016177731897292e-07
1.584893192461111e-14 2511886.431509603 0.3437150161983489 1.7005684874108202e-08
1.584893192461111e-14 3162277.660168405 0.3430367859920613 2.525662281782844e-07
1.584893192461111e-14 3981071.70553501 0.34236844668541483 1.5325812462861775e-07
1.584893192461111e-14 5011872.336272766 0.34169206371947086 2.157413239372804e-08
1.584893192461111e-14 6309573.444801995 0.3407235341423489 2.2676201133256932e-09
1.584893192461111e-14 7943282.347242886 0.33925201845159697 2.098984117307624e-10
1.9952623149688746e-14 1.0 0.00037391603262455905 0.0006754946437352816
1.9952623149688746e-14 1.2589254117941673 0.0005603800610453261 0.0010326397774805672
1.9952623149688746e-14 1.5848931924611138 0.0008438839862675483 0.0015684826095656043
1.9952623149688746e-14 1.9952623149688804 0.0012741646050263263 0.0023673974919365074
1.9952623149688746e-14 2.5118864315095815 0.0019252276342702909 0.0035724867106970946
1.9952623149688746e-14 3.1622776601683817 0.0029094053163843505 0.0054440976093774705
1.9952623149688746e-14 3.9810717055349754 0.004403158956935619 0.00844179408793185
1.9952623149688746e-14 5.011872336272727 0.0066909553700065846 0.013301239245818214
1.9952623149688746e-14 6.30957344480194 0.01023370851986319 0.02112739435882825
1.9952623149688746e-14 7.943282347242826 0.015771491931278428 0.03361838790132553
1.9952623149688746e-14 10.000000000000016 0.024486014694597102 0.0536303329177241
1.9952623149688746e-14 12.589254117941694 0.0382808629678468 0.08646162114958536
1.9952623149688746e-14 15.848931924611158 0.060280232968804366 0.14261533582250038
1.9952623149688746e-14 19.95262314968883 0.09575580472522853 0.24279346809638974
1.9952623149688746e-14 25.11886431509585 0.15380959104297062 0.423869376083455
1.9952623149688746e-14 31.622776601683857 0.2503276105441445 0.7402623084924984
1.9952623149688746e-14 39.81071705534981 0.41285999770965887 1.248128606016813
1.9952623149688746e-14 50.11872336272735 0.6874461568572883 1.971512076862459
1.9952623149688746e-14 63.09573444801949 1.1454546222915933 2.881365615409041
1.9952623149688746e-14 79.43282347242838 1.8831696496099535 3.9815695759376917
1.9952623149688746e-14 100.00000000000031 3.0042422830430366 5.3995765181724575
1.9952623149688746e-14 125.89254117941714 4.5535126288117125 7.748455984846253
1.9952623149688746e-14 158.4893192461119 4.7552272540028735 10.959069816862629
1.9952623149688746e-14 199.5262314968887 6.431003210084558 10.297614877111792
1.9952623149688746e-14 251.18864315095874 7.980121196672543 10.312970141911915
1.9952623149688746e-14 316.2277660168389 9.187736544458565 9.030945178574047
1.9952623149688746e-14 398.1071705534986 10.118754030848528 9.203714067843284
1.9952623149688746e-14 501.18723362727405 4.2376782264463975 6.037356113721556
1.9952623149688746e-14 630.9573444801956 4.626246959892911 3.76979408088052
1.9952623149688746e-14 794.3282347242846 3.1119545769954553 2.960702903183297
1.9952623149688746e-14 1000.0000000000041 3.4850464387066373 2.841991259878534
1.9952623149688746e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1.9952623149688746e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1.9952623149688746e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1.9952623149688746e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1.9952623149688746e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1.9952623149688746e-14 3981.0717055349937 0.00011061711117195699 0.00034900119767334806
1.9952623149688746e-14 5011.8723362727505 0.004976554672412911 0.23797863834441757
1.9952623149688746e-14 6309.573444801968 0.22389028568159153 162.27403472427343
1.9952623149688746e-14 7943.282347242862 0.3258224736752557 77.40267390985598
1.9952623149688746e-14 10000.000000000062 0.3295898592987741 33.76091589141241
1.9952623149688746e-14 12589.254117941739 0.3527807082767312 130.19635665233255
1.9952623149688746e-14 15848.931924611239 0.35280788389166073 460.311087997556
1.9952623149688746e-14 19952.62314968891 0.353941615503534 1468.535507654279
1.9952623149688746e-14 25118.864315095976 0.3658799368819742 1507.247295081259
1.9952623149688746e-14 31622.77660168399 0.3727361056363625 202.81081280305176
1.9952623149688746e-14 39810.71705535002 0.3728479281413234 211.27740194643278
1.9952623149688746e-14 50118.72336272756 0.37127454250664566 63.94624706970822
1.9952623149688746e-14 63095.734448019684 0.3721523426219864 56.152352130832384
1.9952623149688746e-14 79432.8234724287 0.3893832630119523 24.73805559371322
1.9952623149688746e-14 100000.00000000061 0.4482443076117022 28.983335289541692
1.9952623149688746e-14 125892.54117941765 0.4774485828849121 34.276984665027726
1.9952623149688746e-14 158489.3192461124 0.42858047000189176 15.286057808597175
1.9952623149688746e-14 199526.23149688952 0.37577602410687083 5.066597193483344
1.9952623149688746e-14 251188.64315095975 0.3531443154806042 0.7137393031014182
1.9952623149688746e-14 316227.7660168405 0.34886868372629276 0.2673972333105321
1.9952623149688746e-14 398107.1705535002 0.34773675167729523 0.20419697550503585
1.9952623149688746e-14 501187.2336272766 0.348094063687773 0.33010713804264685
1.9952623149688746e-14 630957.3444801981 0.34844670009061735 0.4479691726752738
1.9952623149688746e-14 794328.2347242887 0.346016512968608 0.061446473972022714
